full_id;title;desc;pdf_url
r21-650;Plus belle France Télévisions ? Une stratégie commerciale en questions;Rapport d'information de M. Roger KAROUTCHI, fait au nom de la commission des finances;http://www.senat.fr/rap/r21-650/r21-6501.pdf
r21-649;Comparaison européenne des conditions de travail et de rémunération des enseignants;Rapport d'information de M. Gérard LONGUET, fait au nom de la commission des finances;http://www.senat.fr/rap/r21-649/r21-6491.pdf
r21-648;Jeunesse et citoyenneté : une culture à réinventer - 23 recommandations pour redynamiser la culture citoyenne;Rapport d'information de M. Henri CABANEL, fait au nom de la MI Culture citoyenne;http://www.senat.fr/rap/r21-648/r21-6481.pdf
r21-637;Les financements de l'État en outre-mer;Rapport d'information de MM. Georges PATIENT et Teva ROHFRITSCH, fait au nom de la commission des finances;http://www.senat.fr/rap/r21-637/r21-6371.pdf
r21-636;Logistique urbaine durable : 14 propositions pour anticiper un défi majeur pour nos agglomérations;Rapport d'information de Mmes Martine FILLEUL et Christine HERZOG, fait au nom de la commission de l'aménagement du territoire et du développement durable;http://www.senat.fr/rap/r21-636/r21-6361.pdf
r21-635;La contribution du Sénat à l'élaboration des textes européens;Rapport d'information de M. Jean-François RAPIN, fait au nom de la commission des affaires européennes;http://www.senat.fr/rap/r21-635/r21-6351.pdf
r21-629;Les comptes du Sénat de l'exercice 2021;Rapport d'information de M. Éric JEANSANNETAS, fait au nom de la commission spéciale chargée du contrôle des comptes et de l'évaluation interne;http://www.senat.fr/rap/r21-629/r21-6291.pdf
r21-627;La reconnaissance biométrique dans l'espace public : 30 propositions pour écarter le risque d'une société de surveillance;Rapport d'information de MM. Marc-Philippe DAUBRESSE, Arnaud de BELENET et Jérôme DURAIN, fait au nom de la commission des lois;http://www.senat.fr/rap/r21-627/r21-6271.pdf
r21-626;Services de l'État et immigration  : retrouver sens et efficacité;Rapport d'information de M. François-Noël BUFFET, fait au nom de la commission des lois;http://www.senat.fr/rap/r21-626/r21-6261.pdf
r21-603;Place des femmes dans l'entreprise : assurer la mixité à tous les échelons;Rapport d'information de M. Serge BABARY et Mme Annick BILLON, fait au nom de la délégation aux droits des femmes et de la délégation aux entreprises;http://www.senat.fr/rap/r21-603/r21-6031.pdf
r21-600;Projet de décret d'avance relatif au financement du plan de résilience économique et sociale;Rapport d'information de M. Jean-François HUSSON, rapporteur général, fait au nom de la commission des finances;http://www.senat.fr/rap/r21-600/r21-6001.pdf
r21-595;Rappel de l'intention du législateur sur l'application de l'article 7 de la loi visant à protéger la rémunération des agriculteurs relatif aux pénalités logistiques infligées par les distributeurs;Rapport d'information de Mme Anne-Catherine LOISIER, fait au nom de la commission des affaires économiques;http://www.senat.fr/rap/r21-595/r21-5951.pdf
r21-594;Construire la sécurité sociale écologique du 21è siècle;Rapport d'information de Mme Mélanie VOGEL, fait au nom de la MI Sécurité sociale écologique;http://www.senat.fr/rap/r21-594/r21-5941.pdf
r21-593-2;À l'heure du numérique, la concentration des médias en question ? - Comptes rendus;Rapport de M. David ASSOULINE, fait au nom de la CE Concentration dans les médias;http://www.senat.fr/rap/r21-593-2/r21-593-21.pdf
r21-593-1;À l'heure du numérique, la concentration des médias en question ? - Rapport;Rapport de M. David ASSOULINE, fait au nom de la CE Concentration dans les médias;http://www.senat.fr/rap/r21-593-1/r21-593-11.pdf
r21-592;Judiciarisation de la vie publique : le dialogue plutôt que le duel;Rapport d'information de M. Philippe BONNECARRÈRE, fait au nom de la MI Judiciarisation;http://www.senat.fr/rap/r21-592/r21-5921.pdf
r21-591;Une relance du patrimoine bénéfique qu'il reste à inscrire dans la durée;Rapport d'information de Mme Else JOSEPH et M. Olivier PACCAUD, fait au nom de la commission de la culture, de l'éducation et de la communication;http://www.senat.fr/rap/r21-591/r21-5911.pdf
r21-590;Mise en oeuvre de la réforme de l'accès aux études de santé, bilan après deux ans : des progrès, mais peut mieux faire;Rapport d'information de Mme Sonia de LA PROVÔTÉ, fait au nom de la commission de la culture, de l'éducation et de la communication;http://www.senat.fr/rap/r21-590/r21-5901.pdf
r21-589;Rétablir l'équité territoriale en matière d'accès aux soins : agir avant qu'il ne soit trop tard;Rapport d'information de M. Bruno ROJOUAN, fait au nom de la commission de l'aménagement du territoire et du développement durable;http://www.senat.fr/rap/r21-589/r21-5891.pdf
r21-588;Renforcer la cohésion numérique dans les territoires : 20 mesures pragmatiques et de bon sens;Rapport d'information de Mme Patricia DEMAS, fait au nom de la commission de l'aménagement du territoire et du développement durable;http://www.senat.fr/rap/r21-588/r21-5881.pdf
r21-587-2;Hôpital : sortir des urgences - Comptes rendus;Rapport de Mme Catherine DEROCHE, fait au nom de la CE Hôpital;http://www.senat.fr/rap/r21-587-2/r21-587-21.pdf
r21-587-1;Hôpital : sortir des urgences - Rapport;Rapport de Mme Catherine DEROCHE, fait au nom de la CE Hôpital;http://www.senat.fr/rap/r21-587-1/r21-587-11.pdf
r21-584;Volet « Énergie » du Paquet « Ajustement à l'objectif 55 » : face à la dépendance énergétique, comment décarboner l'économie ?;Rapport d'information de M. Daniel GREMILLET et Mme Dominique ESTROSI SASSONE, fait au nom de la commission des affaires économiques;http://www.senat.fr/rap/r21-584/r21-5841.pdf
r21-580;Aspects scientifiques et technologiques de la gestion quantitative de l'eau;Rapport de MM. Gérard LONGUET, sénateur et Philippe BOLO, député, fait au nom de l'Office parlementaire d'évaluation des choix scientifiques et technologiques;http://www.senat.fr/rap/r21-580/r21-5801.pdf
r21-578-1;Un phénomène tentaculaire : l'influence croissante des cabinets de conseil sur les politiques publiques - Rapport;Rapport de Mme Éliane ASSASSI, fait au nom de la CE Cabinets de conseil;http://www.senat.fr/rap/r21-578-1/r21-578-11.pdf
r21-578-2;Un phénomène tentaculaire : l'influence croissante des cabinets de conseil sur les politiques publiques - Auditions;Rapport de Mme Éliane ASSASSI, fait au nom de la CE Cabinets de conseil;http://www.senat.fr/rap/r21-578-2/r21-578-21.pdf
